Registry,ID,Name,Type,Location,SDGs,Project Start Date,Credits Issued,Credits Retired,Project Website
CAR,CAR1317,CE&S Dairy,Livestock - ARB Compliance,US,[],9/26/2024,31359,0,http://calbioenergy.com/
CAR,CAR639,"El Dorado Nitrogen, LP - Nitrous Oxide Abatement Project",Nitric Acid N2O- Secondary Catalyst,US,[],9/20/2024,85148,0,
CAR,CAR1316,Lakeview Farms Dairy,Livestock - ARB Compliance,US,[],8/30/2024,26033,0,http://calbioenergy.com/
CAR,CAR1409,Martell,Improved Forest Management - ARB Compliance,US,[],7/26/2024,268062,0,
CAR,CAR1480,Phlogiston Phase I,Adipic Acid,US,[],8/8/2024,1253154,0,
CAR,CAR443,South Kent Landfill Gas to Energy Project,Landfill Gas Capture/Combustion,US,[],9/20/2024,25500,0,
CAR,CAR1315,West Star North Dairy,Livestock - ARB Compliance,US,[],9/5/2024,33512,0,http://calbioenergy.com/
CAR,CAR1298,Adirondack Farms,Livestock - ARB Compliance,US,[],12/13/2023,4526,0,
CAR,CAR1105,American Soda LLC Waste Mine Methane Project,Mine Methane Capture - ARB Compliance,US,[],7/30/2024,329027,0,
CAR,CAR888,Angelina County Landfill,Landfill Gas Capture/Combustion,US,[],11/27/2023,17880,0,
CAR,CAR1324,AR-Joy Farm Dairy Digester,Livestock - ARB Compliance,US,[],3/12/2024,3209,0,
CAR,CAR1110,Backbone,Improved Forest Management - ARB Compliance,US,[],1/19/2024,59454,0,
CAR,CAR683,Blue Source - Francis Beidler Improved Forest Management Project,Improved Forest Management,US,[],9/12/2024,9951,0,
CAR,CAR1587,Bonos de Carbono-San José del Rincón-Mariposa Monarca-Concepción del Monte,Forestry - MX,MX,[],8/4/2023,65,0,
CAR,CAR1588,Bonos de Carbono-San José del Rincón-Mariposa Monarca-Ejido Las Rosas,Forestry - MX,MX,[],8/4/2023,110,0,
CAR,CAR1589,Bonos de Carbono-San José del Rincón-Mariposa Monarca-Ejido Los Lobos,Forestry - MX,MX,[],8/4/2023,61,0,
CAR,CAR1590,Bonos de Carbono-San José del Rincón-Mariposa Monarca-Ejido Rosa de Palo Amarillo,Forestry - MX,MX,[],8/4/2023,77,0,
CAR,CAR1591,Bonos de Carbono-San José del Rincón-Mariposa Monarca-Ejido San Felipe de Jesús,Forestry - MX,MX,[],8/4/2023,32,0,
CAR,CAR1865,BONOS LAGUNA SÍJIL NOH-HÁ,Forestry - MX,MX,[],8/27/2024,54916,0,
CAR,CAR1863,BONOS X-HAZIL DE LA RUTA SIAN KA´AN,Forestry - MX,MX,[],9/17/2024,56441,0,
CAR,CAR531,Buncombe County Landfill,Landfill Gas Capture/Combustion,US,[],2/28/2024,2694,0,http://www.buncombecounty.org
CAR,CAR515,Canadian Valley Landfill,Landfill Gas Capture/Combustion,US,[],6/28/2024,21336,0,
CAR,CAR1804,"Captura de Carbono en los Bosques de Coníferas y Latifoliadas  del Ejido La Victoria y Anexos, Municipio de Pueblo Nuevo, Estado de Durango, México",Forestry - MX,MX,[],9/26/2024,59316,0,
CAR,CAR1859,Carbono Forestal La Catedral,Forestry - MX,MX,[],8/22/2024,142911,0,
CAR,CAR1744,Carbono Forestal La Norteñita,Forestry - MX,MX,[],12/5/2023,31317,0,http://www.grupolanortenita.com/
CAR,CAR1569,"Carbono, Agua y Biodiversidad Indígena Abejones",Forestry - MX,MX,[],8/30/2023,560,0,http://www.icico.mx
CAR,CAR1415,"Carbono, Agua y Biodiversidad Indígena Capulálpam",Forestry - MX,MX,[],8/31/2023,195,0,http://www.icico.mx
CAR,CAR1532,"Carbono, Agua y Biodiversidad Indígena Comaltepec",Forestry - MX,MX,[],8/31/2023,960,0,http://www.icico.mx
CAR,CAR1461,"Carbono, Agua y Biodiversidad Indígena Ixtlán",Forestry - MX,MX,[],8/30/2023,1245,0,http://www.icico.mx
CAR,CAR1531,"Carbono, Agua y Biodiversidad Indígena Jaltianguis",Forestry - MX,MX,[],8/30/2023,124,0,http://www.icico.mx
CAR,CAR1399,"Carbono, Agua y Biodiversidad Indígena La Trinidad",Forestry - MX,MX,[],8/31/2023,150,0,http://www.icico.mx
CAR,CAR1443,"Carbono, Agua y Biodiversidad Indígena Maninaltepec",Forestry - MX,MX,[],8/31/2023,302,0,http://www.icico.mx
CAR,CAR1462,"Carbono, Agua y Biodiversidad Indígena Metaltepec",Forestry - MX,MX,[],8/31/2023,175,0,http://www.icico.mx
CAR,CAR1463,"Carbono, Agua y Biodiversidad Indígena Peñoles",Forestry - MX,MX,[],8/30/2023,1037,0,http://www.icico.mx
CAR,CAR1464,"Carbono, Agua y Biodiversidad Indígena San Bartolomé",Forestry - MX,MX,[],8/30/2023,1215,0,http://www.icico.mx
CAR,CAR1411,"Carbono, Agua y Biodiversidad Indígena Xiacuí",Forestry - MX,MX,[],8/31/2023,244,0,http://www.icico.mx
CAR,CAR866,Cedar Grove - Maple Valley OWC Composting Project,Organic Waste Composting,US,[],8/20/2024,43433,0,
CAR,CAR825,Cedar Grove Composting,Organic Waste Composting,US,[],7/30/2024,15266,0,http://www.cedar-grove.com/
CAR,CAR1264,Chugach Alaska Forest Carbon Project,Improved Forest Management - ARB Compliance,US,[],11/1/2023,95309,0,
CAR,CAR887,City of Thomasville MSW Landfill,Landfill Gas Capture/Combustion,US,[],6/20/2024,16160,0,
CAR,CAR1860,ClimeCo ODS Destruction 36,Ozone Depleting Substances - U.S. - ARB Compliance,US,[],6/17/2024,45265,0,http://www.climeco.com
CAR,CAR1335,Coffeyville NAP2,Nitric Acid N2O- Tertiary Catalyst,US,[],12/6/2023,102166,0,
CAR,CAR1382,Cohasset 2019,Improved Forest Management - ARB Compliance,US,[],1/9/2024,34642,0,
CAR,CAR1496,Comunidad Rio y Papudos,Forestry - MX,MX,[],8/30/2024,5114,0,
CAR,CAR969,Dairyland Digester,Livestock - ARB Compliance,US,[],3/4/2024,54037,0,
CAR,CAR1608,Ejido Gavilanes,Forestry - MX,MX,[],4/5/2024,12365,0,
CAR,CAR1607,Ejido Piedras Negras,Forestry - MX,MX,[],4/5/2024,10762,0,
CAR,CAR1606,Ejido Pozo Pirata,Forestry - MX,MX,[],4/5/2024,12642,0,
CAR,CAR1497,Ejido Salto de Camellones,Forestry - MX,MX,[],8/30/2024,11012,0,
CAR,CAR1494,Ejido Topia,Forestry - MX,MX,[],8/30/2024,9356,0,
CAR,CAR1660,Ejido Tutuaca,Forestry - MX,MX,[],9/13/2024,73497,0,
CAR,CAR1495,Ejido Valle de Topia,Forestry - MX,MX,[],8/30/2024,17028,0,
CAR,CAR444,Erie County Landfill,Landfill Gas Capture/Combustion,US,[],2/5/2024,32954,0,
CAR,CAR996,Farm Power Misty Meadow Anaerobic Digester,Livestock Gas Capture/Combustion,US,[],9/9/2024,14482,0,
CAR,CAR1208,Finite Carbon - Alma Land Company IFM,Improved Forest Management - ARB Compliance,US,[],9/30/2024,62534,0,
CAR,CAR1204,Finite Carbon - AMC Silver Lake IFM,Improved Forest Management - ARB Compliance,US,[],8/23/2024,1234,0,
CAR,CAR1436,Finite Carbon - Dingess Rum IFM,Improved Forest Management - ARB Compliance,US,[],1/4/2024,15287,0,
CAR,CAR1175,Finite Carbon - Passamaquoddy Tribe IFM,Improved Forest Management - ARB Compliance,US,[],8/15/2024,156572,0,
CAR,CAR1098,Garcia River Forest - ARB,Improved Forest Management - ARB Compliance,US,[],2/1/2024,137096,0,http://www.conservationfund.org
CAR,CAR475,Gaston County Landfill Gas Destruction Project,Landfill Gas Capture/Combustion,US,[],8/23/2024,104701,0,
CAR,CAR1109,Green Assets – Woodlands Nature Reserve Avoided Conversion Project,Avoided Conversion - ARB Compliance,US,[],6/20/2024,2752,0,
CAR,CAR1099,Gualala River Forest - ARB,Improved Forest Management - ARB Compliance,US,[],5/10/2024,75629,0,http://www.conservationfund.org
CAR,CAR1562,Hamptons Road Recovery Center,Landfill Gas Capture/Combustion,US,[],9/4/2024,1968,0,
CAR,CAR635,Hancock County Landfill Gas Collection Project,Landfill Gas Capture/Combustion,US,[],11/21/2023,58234,0,
CAR,CAR1238,Heartland Ranch Phase 1,Avoided Grassland Conversion,US,[],3/29/2024,3031,0,http://Southern Plains Land Trust
CAR,CAR1299,Heartland Ranch Phase 2,Avoided Grassland Conversion,US,[],3/29/2024,1185,0,http://Southern Plains Land Trust
CAR,CAR1328,Heartland Ranch Phase 3,Avoided Grassland Conversion,US,[],3/29/2024,351,0,http://Southern Plains Land Trust
CAR,CAR1693,Heartland Ranch Phase 4,Avoided Grassland Conversion,US,[],3/29/2024,2062,0,http://southernplains.org
CAR,CAR1694,Heartland Ranch Phase 5,Avoided Grassland Conversion,US,[],3/29/2024,2647,0,http://southernplains.org
CAR,CAR422,Hernando County Landfill Electric Generation,Landfill Gas Capture/Combustion,US,[],1/31/2024,38486,0,http://www.timberlineenergy.com
CAR,CAR829,Hilltop Sand and Gravel Landfill GHG Project,Landfill Gas Capture/Combustion,US,[],7/11/2024,8150,0,
CAR,CAR1339,Humboldt Mixed Forest Improvement Project,Improved Forest Management - ARB Compliance,US,[],5/17/2024,76566,0,
CAR,CAR838,IESI-Trinity Timber Ridge Landfill Carbon Project,Landfill Gas Capture/Combustion,US,[],10/25/2023,11297,0,
CAR,CAR522,Kentucky Blue Ridge Landfill,Landfill Gas Capture/Combustion,US,[],6/28/2024,30864,0,
CAR,CAR509,Larimer County Landfill Gas Project,Landfill Gas Capture/Combustion,US,[],9/12/2024,10737,0,
CAR,CAR1408,Lassen,Improved Forest Management - ARB Compliance,US,[],1/4/2024,299198,0,
CAR,CAR1050,Lawton GCCS,Landfill Gas Capture/Combustion,US,[],7/1/2024,11822,0,
CAR,CAR1096,Lenz Composting,Organic Waste Composting,US,[],7/30/2024,21388,0,
CAR,CAR1332,Lubrecht Experimental Forest Carbon Project,Improved Forest Management - ARB Compliance,US,[],8/29/2024,11421,0,
CAR,CAR521,Maple Hill Landfill,Landfill Gas Capture/Combustion,US,[],6/28/2024,65050,0,
CAR,CAR1425,Medford Spring Grassland Conservation,Avoided Grassland Conversion,US,[],3/29/2024,2141,0,http://southernplains.org
CAR,CAR406,Moccasin Mike Landfill Gas Project,Landfill Gas Capture/Combustion,US,[],8/20/2024,37920,0,
CAR,CAR1384,Mosquito 2019,Improved Forest Management - ARB Compliance,US,[],1/17/2024,87667,0,
CAR,CAR1624,Nitric Acid,Nitric Acid N2O- Secondary Catalyst,US,[],11/14/2023,129255,0,
CAR,CAR674,"Oneida Herkimer Landfill Ava, NY",Landfill Gas Capture/Combustion,US,[],1/18/2024,125545,0,http://www.ohswa.org
CAR,CAR1340,"Optima KV, LLC",Livestock - ARB Compliance,US,[],3/1/2024,16311,0,http://www.pig.energy
CAR,CAR1737,ProCarbono: Ejido El Rincón,Forestry - MX,MX,[],2/27/2024,3567,0,http://www.carbonof.com/El Rincon
CAR,CAR1735,ProCarbono: Ejido Las Hacienditas y Anexos,Forestry - MX,MX,[],3/6/2024,19384,0,http://www.carbonof.com/hacienditas
CAR,CAR1675,ProCarbono: Ejido Quebrada de Cebollas,Forestry - MX,MX,[],2/28/2024,16425,0,http://www.carbonof.com/quebrada-de-cebollas
CAR,CAR1736,ProCarbono: Ejido Silvestre Revueltas,Forestry - MX,MX,[],2/16/2024,3224,0,http://www.carbonof.com/Silvestre
CAR,CAR1704,ProCarbono: Ejios Los Altares,Forestry - MX,MX,[],1/24/2024,39494,0,http://https://carbonof.com/los-altares
CAR,CAR1829,Proyecto Forestal de Captura de Carbono Comunidad San Jerónimo Coatlán,Forestry - MX,MX,[],5/16/2024,123400,0,http://N/A
CAR,CAR1506,Proyecto forestal de carbono del Ejido Lázaro Cárdenas Número 2,Forestry - MX,MX,[],7/19/2024,438,0,
CAR,CAR1505,Proyecto forestal de carbono del Ejido Pioneros de Río Xhon - Ha,Forestry - MX,MX,[],7/19/2024,1006,0,
CAR,CAR1584,"Proyecto forestal de carbono del Ejido San Diego de Tezains, Durango, México",Forestry - MX,MX,[],5/17/2024,301533,0,http://https://drive.google.com/drive/folders/1p_UCTyUQEEj8U7HPP9rDCPF4kMO3zvhA?usp=sharing
CAR,CAR1847,Proyecto Forestal de Carbono Ejido La Ciudad,Forestry - MX,MX,[],7/8/2024,39495,0,
CAR,CAR1237,Raven's Nest Nature Preserve,Avoided Grassland Conversion,US,[],3/29/2024,893,0,http://Southern Plains Land Trust
CAR,CAR1321,Remley Family Farms Anaerobic Digester,Livestock - ARB Compliance,US,[],3/4/2024,5022,0,
CAR,CAR811,Rentech Energy Midwest Corporation – Nitric Acid Plant 1,Nitric Acid N2O- Tertiary Catalyst,US,[],6/24/2024,87596,0,
CAR,CAR1027,"Rentech Nitrogen, LLC - Nitric Acid Plant 2",Nitric Acid N2O- Secondary Catalyst,US,[],6/24/2024,92825,0,
CAR,CAR516,Resource Recovery Landfill,Landfill Gas Capture/Combustion,US,[],7/24/2024,30967,0,
CAR,CAR1820,Restauración Forestal Santa Elena,Forestry - MX,MX,[],8/29/2024,64591,0,
CAR,CAR1739,Restauración Forestal X-pichil,Forestry - MX,MX,[],4/29/2024,82675,0,http://www.canopiacarbon.com
CAR,CAR512,Rio Grande Valley Landfill,Landfill Gas Capture/Combustion,US,[],5/22/2024,90076,0,
CAR,CAR1372,Rochelle Municipal Landfill,Landfill Gas Capture/Combustion,US,[],6/25/2024,97786,0,
CAR,CAR1442,Shasta Cascade Timberlands Forest Carbon Project,Improved Forest Management - ARB Compliance,US,[],7/31/2024,172613,0,
CAR,CAR1162,SIG Carbon - Northeast Wilderness Trust - Alder Stream Preserve,Improved Forest Management - ARB Compliance,US,[],3/29/2024,1539,0,http://www.sigcarbon.com
CAR,CAR1161,SIG Carbon– Northeast Wilderness Trust – Howland Research Forest,Improved Forest Management - ARB Compliance,US,[],3/28/2024,861,0,http://www.sigcarbon.com
CAR,CAR1579,Sonora,Improved Forest Management - ARB Compliance,US,[],5/22/2024,301742,0,
CAR,CAR400,South Jordan Landfill Gas Destruction Project,Landfill Gas Capture/Combustion,US,[],5/3/2024,218257,0,
CAR,CAR514,Stillwater Sanitary Landfill,Landfill Gas Capture/Combustion,US,[],6/27/2024,50977,0,
CAR,CAR1145,"Storms Hog Power, LLC",Livestock - ARB Compliance,US,[],3/12/2024,13075,0,
CAR,CAR1138,Sunnyside Farms COP,Livestock - ARB Compliance,US,[],8/8/2024,41616,0,
CAR,CAR1337,Two Fiets Digester,Livestock - ARB Compliance,US,[],2/6/2024,13335,0,
CAR,CAR1139,Usal Redwood Forest - IFM,Improved Forest Management - ARB Compliance,US,[],9/17/2024,130794,0,http://www.rffi.org
CAR,CAR1265,Verwey Hanford Dairy Digester,Livestock - ARB Compliance,US,[],6/12/2024,60487,0,
CAR,CAR436,Volunteer Regional Landfill,Landfill Gas Capture/Combustion,US,[],6/21/2024,72019,0,
CAR,CAR1008,Washington Beef LLC Greenhouse Gas and Solids Reduction Project,Organic Waste Digestion,US,[],7/29/2024,32514,0,
CAR,CAR1246,Woodcrest Dairy Digester,Livestock - ARB Compliance,US,[],12/4/2023,7859,0,
CAR,CAR1663,"XICO2e Carbono Forestal Ejido Pueblo Nuevo, Durango, México",Forestry - MX,MX,[],10/4/2024,357560,0,
CAR,CAR1560,A-Gas 1-2022,Ozone Depleting Substances - U.S. - ARB Compliance,US,[],5/27/2022,59147,0,http://www.agasamericas.com
CAR,CAR1662,A-Gas 1-2023,Ozone Depleting Substances - U.S. - ARB Compliance,US,[],4/20/2023,70833,0,http://www.agasamericas.com
CAR,CAR1578,A-Gas 2-2022,Ozone Depleting Substances - U.S. - ARB Compliance,US,[],7/29/2022,102599,0,http://www.agasamericas.com
CAR,CAR1641,AgriCapture Grasslands Project 1,Avoided Grassland Conversion,US,[],5/12/2023,86,0,
CAR,CAR1513,AgriCapture Soil Enrichment #1,Soil Enrichment,US,[],6/7/2024,16589,0,http://www.agricapture.com
CAR,CAR1582,Alliance Dairy,Livestock Gas Capture/Combustion,US,[],6/6/2023,10958,0,
CAR,CAR517,Anson County Landfill,Landfill Gas Capture/Combustion,US,[],1/3/2024,96070,0,
CAR,CAR881,Athens-Clarke County Landfill Project,Landfill Gas Capture/Combustion,US,[],1/18/2024,24896,0,http://N/A
CAR,CAR1152,Aurora Ridge Dairy,Livestock - ARB Compliance,US,[],1/9/2024,13790,0,
CAR,CAR574,Berkeley County Landfill Gas Project,Landfill Gas Capture/Combustion,US,[],7/31/2024,6919,0,
CAR,CAR790,Bi-County Landfill Gas Destruction Project,Landfill Gas Capture/Combustion,US,[],2/14/2024,88133,0,http://www.fierainfrastructure.com
CAR,CAR1100,Big River / Salmon Creek Forests - ARB,Improved Forest Management - ARB Compliance,US,[],3/15/2023,89619,0,http://www.conservationfund.org
CAR,CAR659,Blue Source - Pungo River Forest Conservation Project,Avoided Conversion,US,[],9/25/2024,17712,0,
CAR,CAR1209,Blue Source-Wolf River Improved Forest Management Project,Improved Forest Management - ARB Compliance,US,[],4/27/2023,9645,0,
CAR,CAR1247,Bluesource - Carroll Avoided Grassland Conversion Project,Avoided Grassland Conversion,US,[],11/10/2022,4744,0,
CAR,CAR1564,Bluesource - Soda Creek Avoided Grassland Conversion Project,Avoided Grassland Conversion,US,[],6/20/2023,3919,0,
CAR,CAR1284,BNW Ranch,Avoided Grassland Conversion,US,[],8/24/2023,4712,0,
CAR,CAR1260,BNW West,Avoided Grassland Conversion,US,[],8/24/2023,1612,0,
CAR,CAR1612,Bonos Comunitarios CO2_Ejido Kankabchen,Forestry - MX,MX,[],5/7/2024,9773,0,http://Ninguna
CAR,CAR1613,Bonos Comunitarios CO2_Ejido X-yatil,Forestry - MX,MX,[],5/7/2024,8983,0,http://Ninguna
CAR,CAR1611,Bonos Comunitarios:Ejido Lazaro Cardenas,Forestry - MX,MX,[],5/7/2024,8663,0,http://Ninguna
CAR,CAR1036,Brook View Dairy Methane Reduction Project,Livestock - ARB Compliance,US,[],7/25/2022,20582,0,
CAR,CAR1095,Brushy Mountain,Improved Forest Management - ARB Compliance,US,[],11/18/2022,104523,0,
CAR,CAR1818,"Captura de Carbono en los Bosques  del Ejido El Regocijo, Municipio de Durango, Estado de Durango, México.",Forestry - MX,MX,[],5/13/2024,34551,0,
CAR,CAR1729,"Captura de Carbono en los Bosques de Coniferas y Latifoliadas del Ejido Mil Diez y Anexos, Municipio de Pueblo Nuevo, Estado de Durango, Mexico",Forestry - MX,MX,[],1/12/2024,14779,0,
CAR,CAR1626,"CAPTURA DE CARBONO EN LOS BOSQUES DE CONIFERAS Y LATIFOLIADAS EN EL EJIDO CHAVARRIA VIEJO,MUNICIPIO DE PUEBLO NUEVO, ESTADO DE DURANGO, MEXICO",Forestry - MX,MX,[],10/13/2023,78820,0,
CAR,CAR1586,"CAPTURA DE CARBONO EN LOS BOSQUES DEL  EJIDO LA CUEVA Y ANEXOS, MUNICIPIO DE PUEBLO NUEVO, ESTADO DE DURANGO, MEXICO",Forestry - MX,MX,[],11/1/2023,26275,0,
CAR,CAR1574,"CAPTURA DE CARBONO EN LOS BOSQUES DEL EJIDO EL BRILLANTE, MUNICIPIO DE PUEBLO NUEVO, ESTADO DE DURANGO, MEXICO",Forestry - MX,MX,[],10/6/2023,99959,0,
CAR,CAR1627,"CAPTURA DE CARBONO EN LOS BOSQUES DEL EJIDO EL LARGO Y ANEXOS, MUNICIPIO DE MADERA, ESTADO DE CHIHUAHUA, MEXICO",Forestry - MX,MX,[],3/1/2024,9467,0,
CAR,CAR1625,"CAPTURA DE CARBONO EN LOS BOSQUES DEL EJIDO SAN PABLO, MUNICIPIO DE PUEBLO NUEVO, ESTADO DE DURANGO, MEXICO",Forestry - MX,MX,[],9/26/2023,16813,0,http://https://www.facebook.com/MaderasEjidoSanPablo/
CAR,CAR1282,Captura de carbono en San Rafael Ixtapalucan,Forestry - MX,MX,[],10/14/2022,1092,0,http://www.icico.mx
CAR,CAR1637,Captura de carbono forestal en el ejido Otzumatlán o Río de Parras,Forestry - MX,MX,[],8/31/2023,1495,0,
CAR,CAR1636,Captura de carbono forestal en el ejido San Pedro Jacuaro,Forestry - MX,MX,[],8/31/2023,1192,0,
CAR,CAR1638,Captura de carbono forestal en la Comunidad Indígena San Pedro Jacuaro,Forestry - MX,MX,[],8/31/2023,2924,0,
CAR,CAR1635,Captura de carbono forestal en los Bienes Comunales de San Francisco Oxtotilpan,Forestry - MX,MX,[],8/31/2023,3298,0,
CAR,CAR627,Charlotte County Zemel Road Landfill Gas Capture Project,Landfill Gas Capture/Combustion,US,[],10/9/2023,13237,0,
CAR,CAR1696,Ciudad Juarez Landfill Gas to Energy Project,Landfill - MX,MX,[],2/28/2024,91737,0,http://biogasdejuarez.com/
CAR,CAR1648,Comunidad El Tarahumar y Bajíos del Tarahumar,Forestry - MX,MX,[],11/28/2023,106205,0,http://www.agesamex.com
CAR,CAR1595,COMUNIDAD SANTA ANA,Forestry - MX,MX,[],2/7/2024,1137,0,
CAR,CAR1657,Comunidad Tutuaca,Forestry - MX,MX,[],12/1/2023,30116,0,
CAR,CAR1664,Condueñazgo Memelichi,Forestry - MX,MX,[],12/1/2023,57196,0,
CAR,CAR1674,Conhúas,Forestry - MX,MX,[],2/7/2024,355520,0,http://Toroto.com
CAR,CAR1285,Conservación y Captura de Carbono Co2ltzingo,Forestry - MX,MX,[],10/7/2022,1485,0,http://www.icico.org.mx
CAR,CAR1620,Crossroads Eco Center Landfill/Caldwell Landfill,Landfill Gas Capture/Combustion,US,[],8/16/2024,1917,0,
CAR,CAR466,Dalton-Whitfield Landfill Project,Landfill Gas Capture/Combustion,US,[],1/4/2024,47558,0,http://www.dwswa.org
CAR,CAR473,Davis Landfill Gas Offset Project,Landfill Gas Capture/Combustion,US,[],8/14/2023,121374,0,http://www.wasatchintegrated.org
CAR,CAR398,Development Authority of the North Country (DANC) Landfill Gas Destruction Project,Landfill Gas Capture/Combustion,US,[],9/24/2024,131174,0,
CAR,CAR1576,Ejido 18 de Marzo,Forestry - MX,MX,[],8/24/2023,14111,0,
CAR,CAR1659,Ejido Basaseachi,Forestry - MX,MX,[],12/1/2023,49908,0,
CAR,CAR1577,Ejido Chunhuhub,Forestry - MX,MX,[],8/24/2023,34094,0,
CAR,CAR1658,Ejido Conoachi y Anexos,Forestry - MX,MX,[],12/1/2023,69975,0,
CAR,CAR1565,Ejido Forestal Chavarria Nuevo,Forestry - MX,MX,[],8/28/2023,17925,0,http://www.agesamex.com
CAR,CAR1392,Ejido forestal Los Bancos,Forestry - MX,MX,[],8/3/2023,147321,0,http://www.agesamex.com
CAR,CAR1661,Ejido Heredia y Anexos,Forestry - MX,MX,[],12/1/2023,53420,0,
CAR,CAR1566,Ejido KM 120,Forestry - MX,MX,[],9/13/2022,7942,0,http://www.toroto.mx/en/projects
CAR,CAR1594,EJIDO LAS MILPAS Y ANEXOS,Forestry - MX,MX,[],2/7/2024,4347,0,
